,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,88,0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,187558,4
1,83,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,211667,4
2,68,0.848,0.364,11,-10.058,1,0.0637,0.697,0.00529,0.14,0.569,137.541,214160,4
3,61,0.361,0.0203,11,-25.064,1,0.0555,0.925,0.00224,0.114,0.351,76.621,123320,4
4,82,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
5,72,0.606,0.196,1,-11.652,1,0.0553,0.908,0.0,0.348,0.391,100.873,208511,4
6,64,0.725,0.258,11,-14.065,0,0.255,0.668,2.63e-05,0.0955,0.173,127.876,184500,3
7,71,0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,330507,4
8,75,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4
9,84,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
10,77,0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,161840,4
11,74,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,209160,4
12,71,0.473,0.371,4,-10.219,0,0.0405,0.793,0.0,0.109,0.413,75.205,209400,4
13,94,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,242485,4
14,73,0.603,0.148,7,-10.449,1,0.0279,0.927,0.0,0.101,0.228,95.451,184895,3
15,81,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
16,72,0.339,0.242,7,-20.446,0,0.0383,0.978,0.871,0.104,0.711,87.053,128000,3
17,65,0.265,0.146,8,-21.134,0,0.0323,0.985,0.893,0.104,0.416,172.13,154500,5
18,64,0.187,0.324,4,-17.517,0,0.0331,0.919,0.928,0.143,0.413,166.32,146000,3
19,63,0.328,0.0704,0,-20.147,0,0.0319,0.986,0.946,0.108,0.15,51.696,152000,4
20,62,0.303,0.162,3,-25.812,0,0.0309,0.973,0.891,0.0966,0.433,141.627,158571,3
21,52,0.28,0.0448,9,-22.712,0,0.0368,0.979,0.905,0.115,0.0964,114.894,178823,4
22,50,0.357,0.239,9,-21.393,0,0.0314,0.973,0.928,0.132,0.637,99.255,112714,4
23,50,0.247,0.446,9,-14.143,0,0.0294,0.954,0.912,0.146,0.458,79.491,107464,4
24,49,0.252,0.121,3,-19.039,0,0.0292,0.989,0.965,0.101,0.209,156.21,131034,4
25,62,0.252,0.13,8,-26.619,0,0.0449,0.969,0.876,0.105,0.0775,140.779,91945,3
26,60,0.325,0.216,9,-17.214,0,0.0352,0.977,0.861,0.128,0.109,99.635,124453,3
27,76,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,126960,4
28,56,0.351,0.388,9,-13.43,0,0.0342,0.0113,0.937,0.0751,0.104,96.142,129217,3
29,51,0.306,0.0389,9,-26.854,0,0.0451,0.993,0.942,0.0937,0.349,94.181,207000,3
30,74,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,275556,4
31,69,0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,199423,3
